epoch, loss, ppl, accuracy
epoch, loss, ppl, accuracy
0,  9.12979,  9226.05363, 2.670
1,  9.16302,  9537.77329, 2.670
2,  9.09212,  8885.01233, 2.670
3,  9.12913,  9219.96725, 2.670
4,  9.09394,  8901.18377, 2.670
5,  9.05184,  8534.26670, 2.670
6,  9.04306,  8459.65838, 2.670
7,  8.99856,  8091.44700, 2.670
8,  8.94440,  7664.88598, 2.670
9,  8.89711,  7310.80333, 2.670
10,  8.87276,  7134.93147, 2.670
11,  8.81957,  6765.36245, 2.670
12,  8.78998,  6568.06957, 2.670
13,  8.71378,  6086.19839, 2.670
14,  8.67579,  5859.30420, 2.670
15,  8.60900,  5480.77836, 2.670
16,  8.51331,  4980.61024, 2.670
17,  8.47569,  4796.73763, 2.670
18,  8.39811,  4438.68896, 2.670
19,  8.36841,  4308.78946, 2.670
20,  8.26130,  3871.13272, 2.670
epoch, loss, ppl, accuracy
0,  7.44043,  1703.47537, 5.656
1,  6.57259,  715.21852, 11.458
2,  6.16728,  476.88647, 15.267
3,  5.77675,  322.70890, 18.909
4,  5.44282,  231.09357, 22.047
5,  5.15191,  172.76181, 24.747
6,  4.88895,  132.81393, 27.327
7,  4.65694,  105.31357, 29.759
8,  4.44308,  85.03679, 32.173
9,  4.23405,  68.99625, 34.853
10,  4.03200,  56.37345, 37.698
11,  3.83637,  46.35673, 40.777
12,  3.63655,  37.96066, 44.123
13,  3.44739,  31.41826, 47.591
14,  3.26995,  26.31014, 50.948
15,  3.09154,  22.01085, 54.505
16,  2.93281,  18.78033, 57.831
17,  2.79154,  16.30611, 60.754
18,  2.65575,  14.23562, 63.882
19,  2.55014,  12.80887, 65.986
20,  2.44906,  11.57741, 68.393
21,  2.35760,  10.56553, 70.647
22,  2.29213,  9.89595, 72.086
23,  2.23655,  9.36095, 73.463
24,  2.19582,  8.98736, 74.245
25,  2.15214,  8.60324, 75.651
26,  2.08758,  8.06540, 77.561
27,  2.02354,  7.56509, 79.428
epoch, loss, ppl, accuracy
0,  4.50657,  90.61077, 31.660
1,  4.45454,  86.01684, 32.460
2,  4.39934,  81.39716, 33.050
3,  4.32793,  75.78712, 33.876
epoch, loss, ppl, accuracy
